genome	dnaG	gyrB	rpoB	u_dnaG	u_gyrB	u_rpoB	n_dnaG	n_gyrB	n_rpoB	rho	ab	filter.min.ab	domain	phylum	class	order	family	genus	species	mgyg	num.anno	redundant	nice_name	nr	nice.species
GUT_GENOME141436	GUT_GENOME000483_04186	GUT_GENOME000483_05311	GUT_GENOME211264_00022	1.00593961357999	5.08623589208764	30.9252026060603	58	163	380	0.637391787246706	12.3391260372426	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A	Klebsiella_A michiganensis	MGYG-HGUT-02351	4926	TRUE	Klebsiella_A michiganensis	FALSE	K. michiganensis
GUT_GENOME141068	GUT_GENOME141068_04216	GUT_GENOME141068_03406	GUT_GENOME140043_04695	0.0336526477089955	0.00664713446515102	0.328607365615522	1	0	18	0.64394654294845	0.122969049263223	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi	MGYG-HGUT-02330	4823	TRUE	Eisenbergiella tayi	FALSE	E. tayi
GUT_GENOME000725	GUT_GENOME000725_02349	GUT_GENOME000133_03911	GUT_GENOME000725_02012	0.0768338278981736	0.185859803894922	0.546045060652839	2	2	16	0.663520019921229	0.269579564148645	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella hathewayi	MGYG-HGUT-00150	4645	TRUE	Hungatella hathewayi	FALSE	H. hathewayi
GUT_GENOME001135	GUT_GENOME001135_01253	GUT_GENOME001135_02786	GUT_GENOME001135_01125	0.00798749044313617	0.00549789576669703	0.923034695371999	0	0	53	0.620372860607759	0.312173360527277	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M	Clostridium_M citroniae	MGYG-HGUT-00198	4433	TRUE	Clostridium_M citroniae	FALSE	C. citroniae
GUT_GENOME000559	GUT_GENOME000559_04787	GUT_GENOME000483_05311	GUT_GENOME211264_00022	0.0807619429061248	5.08623589208764	30.9252026060603	4	163	380	0.572129593449264	12.0307334803514	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A	Klebsiella_A oxytoca	MGYG-HGUT-00107	4409	TRUE	Klebsiella_A oxytoca	FALSE	K. oxytoca
GUT_GENOME147524	GUT_GENOME080199_01166	GUT_GENOME080199_03651	GUT_GENOME211264_00022	0.27811958729454	7.8487647184171	30.9252026060603	15	218	380	0.603753504550187	13.017362303924	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter_A	Citrobacter_A farmeri	MGYG-HGUT-02534	4384	TRUE	Citrobacter_A farmeri	FALSE	C. farmeri
GUT_GENOME141054	GUT_GENOME000931_02460	GUT_GENOME141054_05259	GUT_GENOME141054_03045	0.00780064944651395	0.0180128309474893	0.408825462560589	0	1	17	0.635572871737093	0.144879647651531	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M	Clostridium_M asparagiforme	MGYG-HGUT-02328	4352	TRUE	Clostridium_M asparagiforme	FALSE	C. asparagiforme
GUT_GENOME095986	GUT_GENOME095986_03542	GUT_GENOME000980_05465	GUT_GENOME095986_05232	0.0262590049193007	0.156725785744	2.19386341421373	0	6	120	0.645578720219967	0.79228273495901	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M	Clostridium_M sp000155435	MGYG-HGUT-01311	4286	TRUE	Clostridium_M sp.	FALSE	Clostridium sp.
GUT_GENOME141809	GUT_GENOME247084_02659	GUT_GENOME141809_04887	GUT_GENOME211264_00022	0.867386878940204	6.87054619257129	30.9252026060603	46	200	380	0.646302316301055	12.8877118925239	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica	MGYG-HGUT-02363	4282	TRUE	Raoultella ornithinolytica	FALSE	R. ornithinolytica
GUT_GENOME145698	GUT_GENOME147598_04396	GUT_GENOME143711_04087	GUT_GENOME211264_00022	2.00923455590766	9.53360631381273	30.9252026060603	66	238	380	0.662347899543379	14.1560144919269	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola	MGYG-HGUT-02511	4209	TRUE	Klebsiella variicola	FALSE	K. variicola
GUT_GENOME239673	GUT_GENOME239673_02383	GUT_GENOME239673_00082	GUT_GENOME239673_05127	0.0928034839215921	0.0973163031126451	0.717228710519795	3	4	23	0.693666662070295	0.302449499184677	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella massiliensis	MGYG-HGUT-03684	4025	TRUE	Eisenbergiella massiliensis	FALSE	E. massiliensis
GUT_GENOME217674	GUT_GENOME217674_02173	GUT_GENOME000221_01804	GUT_GENOME000035_02244	11.2643700572134	5.91976042316732	62.3037359631198	487	322	1492	0.674609816087277	26.4959554811668	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		MGYG-HGUT-03252	4009	TRUE	Bacteroides sp.	FALSE	Bacteroides sp.
GUT_GENOME143711	GUT_GENOME143711_03780	GUT_GENOME143711_04087	GUT_GENOME211264_00022	0.0433158559612408	9.53360631381273	30.9252026060603	1	238	380	0.607846762389372	13.5007082586114	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera ascorbata_B	MGYG-HGUT-02491	3976	TRUE	Kluyvera ascorbata_B	FALSE	K. ascorbata B
GUT_GENOME143751	GUT_GENOME143740_03642	GUT_GENOME143747_00183	GUT_GENOME211264_00022	0.290192170884464	6.61923559379558	30.9252026060603	12	201	380	0.612762396934573	12.6115434569134	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae_H	MGYG-HGUT-02502	3936	TRUE	Enterobacter cloacae_H	FALSE	E. cloacae H
GUT_GENOME143724	GUT_GENOME000563_02513	GUT_GENOME103766_00004	GUT_GENOME211264_00022	0.708464763972055	7.57997951682914	30.9252026060603	30	208	380	0.616954517509575	13.0712156289538	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter europaeus	MGYG-HGUT-02495	3935	TRUE	Citrobacter europaeus	FALSE	C. europaeus
GUT_GENOME171597	GUT_GENOME000483_04186	GUT_GENOME171597_02529	GUT_GENOME211264_00022	1.00593961357999	6.12898416137021	30.9252026060603	58	182	380	0.643096452591882	12.6867087936702	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A		MGYG-HGUT-02825	3916	TRUE	Klebsiella_A sp.	FALSE	Klebsiella sp.
GUT_GENOME145695	GUT_GENOME147598_04396	GUT_GENOME145695_04320	GUT_GENOME211264_00022	2.00923455590766	7.3433662432774	30.9252026060603	66	187	380	0.657084748124631	13.4259344684151	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae	MGYG-HGUT-02510	3912	TRUE	Klebsiella quasipneumoniae	FALSE	K. quasipneumoniae
GUT_GENOME143127	GUT_GENOME143127_01452	GUT_GENOME143127_02867	GUT_GENOME103705_01550	0.0578047753908945	0.0772243952098468	1.49224007923345	3	5	90	0.630362432445204	0.542423083278064	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia hominis	MGYG-HGUT-02437	3896	TRUE	Blautia hominis	FALSE	B. hominis
