genome	gyrB	dnaG	frr	infC	nusA	pgk	pyrG	rplA	rplB	rplC	rplD	rplE	rplF	rplK	rplL	rplM	rplN	rplP	rplS	rplT	rpmA	rpoB	rpsB	rpsC	rpsE	rpsI	rpsJ	rpsK	rpsM	rpsS	smpB	tsf
GUT_GENOME018218	GUT_GENOME018218_00443,GUT_GENOME018218_01172	GUT_GENOME018218_01582	GUT_GENOME018218_01367	GUT_GENOME018218_00278		GUT_GENOME018218_01695	GUT_GENOME018218_01080	GUT_GENOME018218_01113	GUT_GENOME018218_00497	GUT_GENOME018218_00494	GUT_GENOME018218_00495	GUT_GENOME018218_00530	GUT_GENOME018218_00533	GUT_GENOME018218_01112	GUT_GENOME018218_01115	GUT_GENOME018218_00240	GUT_GENOME018218_00528	GUT_GENOME018218_00525	GUT_GENOME018218_00198	GUT_GENOME018218_00276	GUT_GENOME018218_01175	GUT_GENOME018218_01116	GUT_GENOME018218_01399	GUT_GENOME018218_00524		GUT_GENOME018218_00239	GUT_GENOME018218_00493	GUT_GENOME018218_00245	GUT_GENOME018218_00246	GUT_GENOME018218_00498	GUT_GENOME018218_00947	GUT_GENOME018218_01400
GUT_GENOME031782	GUT_GENOME031782_02060	GUT_GENOME156849_00094	GUT_GENOME156849_00488	GUT_GENOME031782_01395	GUT_GENOME156849_01802	GUT_GENOME156849_00351	GUT_GENOME156849_01947	GUT_GENOME031782_01122	GUT_GENOME031782_01140	GUT_GENOME156849_02280	GUT_GENOME031782_01138	GUT_GENOME031782_01149	GUT_GENOME156849_02265	GUT_GENOME031782_01121	GUT_GENOME031782_01124	GUT_GENOME031782_00919	GUT_GENOME031782_01147	GUT_GENOME031782_01144	GUT_GENOME031782_00553	GUT_GENOME156849_00006	GUT_GENOME031782_01042	GUT_GENOME031782_01125	GUT_GENOME156849_00491	GUT_GENOME031782_01143	GUT_GENOME031782_01154	GUT_GENOME156849_02047	GUT_GENOME156849_02286	GUT_GENOME031782_01160	GUT_GENOME156849_01636	GUT_GENOME031782_01141	GUT_GENOME156849_00469	GUT_GENOME156849_00490
GUT_GENOME156849	GUT_GENOME031782_02060	GUT_GENOME156849_00094	GUT_GENOME156849_00488	GUT_GENOME031782_01395	GUT_GENOME156849_01802	GUT_GENOME156849_00351	GUT_GENOME156849_01947		GUT_GENOME031782_01140	GUT_GENOME156849_02280	GUT_GENOME031782_01138	GUT_GENOME031782_01149	GUT_GENOME156849_02265			GUT_GENOME031782_00919	GUT_GENOME031782_01147	GUT_GENOME031782_01144	GUT_GENOME031782_00553	GUT_GENOME156849_00006	GUT_GENOME031782_01042		GUT_GENOME156849_00491	GUT_GENOME031782_01143	GUT_GENOME031782_01154	GUT_GENOME156849_02047	GUT_GENOME156849_02286	GUT_GENOME031782_01160	GUT_GENOME156849_01636	GUT_GENOME031782_01141	GUT_GENOME156849_00469	GUT_GENOME156849_00490
GUT_GENOME238250	GUT_GENOME238250_00194	GUT_GENOME238250_00059	GUT_GENOME238250_01429	GUT_GENOME238250_01135	GUT_GENOME238250_01128		GUT_GENOME238250_00667	GUT_GENOME238250_01179	GUT_GENOME238250_01607	GUT_GENOME238250_01610	GUT_GENOME238250_01609	GUT_GENOME238250_01597	GUT_GENOME238250_01594	GUT_GENOME238250_01178	GUT_GENOME238250_01181	GUT_GENOME238250_01458	GUT_GENOME238250_01599	GUT_GENOME238250_01602	GUT_GENOME238250_00786	GUT_GENOME238250_01103	GUT_GENOME238250_00877	GUT_GENOME238250_01211	GUT_GENOME238250_01454	GUT_GENOME238250_01603	GUT_GENOME238250_01592	GUT_GENOME238250_01459	GUT_GENOME238250_01611	GUT_GENOME238250_01587	GUT_GENOME238250_01588	GUT_GENOME238250_01606		GUT_GENOME238250_01455
GUT_GENOME236226	GUT_GENOME236226_01831	GUT_GENOME236226_01209	GUT_GENOME236226_00046	GUT_GENOME236226_00053	GUT_GENOME236226_00767	GUT_GENOME236226_00597	GUT_GENOME236226_00237	GUT_GENOME236226_00827	GUT_GENOME236226_01488	GUT_GENOME236226_01491	GUT_GENOME236226_01490	GUT_GENOME236226_01897	GUT_GENOME236226_01900	GUT_GENOME236226_00826	GUT_GENOME236226_00829	GUT_GENOME236226_00330	GUT_GENOME236226_01895	GUT_GENOME236226_01484	GUT_GENOME236226_01341	GUT_GENOME236226_00051	GUT_GENOME236226_01193	GUT_GENOME236226_00830	GUT_GENOME236226_01884	GUT_GENOME236226_01485	GUT_GENOME236226_01902	GUT_GENOME236226_00329	GUT_GENOME236226_01492	GUT_GENOME236226_01908	GUT_GENOME236226_01907	GUT_GENOME236226_01487	GUT_GENOME236226_00375	GUT_GENOME236226_01885
GUT_GENOME219403	GUT_GENOME219403_00713,GUT_GENOME219403_00729	GUT_GENOME219403_00828	GUT_GENOME219403_00613	GUT_GENOME219403_00369	GUT_GENOME219403_00022	GUT_GENOME219403_00064		GUT_GENOME219403_01409	GUT_GENOME219403_01534	GUT_GENOME219403_01537	GUT_GENOME219403_01536	GUT_GENOME219403_01525	GUT_GENOME219403_01522	GUT_GENOME175792_00009	GUT_GENOME219403_01407	GUT_GENOME219403_01326	GUT_GENOME175792_01586	GUT_GENOME219403_01530	GUT_GENOME219403_00073	GUT_GENOME219403_00670	GUT_GENOME219403_00095	GUT_GENOME219403_01402	GUT_GENOME219403_00728	GUT_GENOME219403_01531	GUT_GENOME219403_01520	GUT_GENOME219403_01325	GUT_GENOME219403_01538	GUT_GENOME219403_01302	GUT_GENOME219403_01301	GUT_GENOME219403_01533		GUT_GENOME219403_00727
GUT_GENOME257679	GUT_GENOME257679_00710	GUT_GENOME257679_01569	GUT_GENOME257679_00310	GUT_GENOME257679_00075	GUT_GENOME257679_02762	GUT_GENOME257679_00657	GUT_GENOME257679_01603	GUT_GENOME257679_02911				GUT_GENOME257679_01907	GUT_GENOME257679_01904	GUT_GENOME257679_02912	GUT_GENOME257679_02909	GUT_GENOME257679_01814	GUT_GENOME257679_01909		GUT_GENOME257679_00552	GUT_GENOME257679_00073	GUT_GENOME257679_01041	GUT_GENOME257679_02908	GUT_GENOME257679_00313		GUT_GENOME257679_01902	GUT_GENOME257679_01813		GUT_GENOME257679_01896	GUT_GENOME257679_01897		GUT_GENOME257679_00041	GUT_GENOME257679_00312
GUT_GENOME109793	GUT_GENOME109793_00203	GUT_GENOME109793_00893	GUT_GENOME109793_00294	GUT_GENOME109793_00501	GUT_GENOME109793_00362		GUT_GENOME109793_00943	GUT_GENOME109793_00582	GUT_GENOME109793_00989	GUT_GENOME109793_00992	GUT_GENOME109793_00991	GUT_GENOME109793_01126	GUT_GENOME109793_01123	GUT_GENOME109793_01288	GUT_GENOME109793_00584	GUT_GENOME109793_00197	GUT_GENOME109793_01128	GUT_GENOME109793_01131	GUT_GENOME109793_01195	GUT_GENOME109793_00402	GUT_GENOME109793_01434	GUT_GENOME109793_00585		GUT_GENOME109793_01132		GUT_GENOME109793_00198	GUT_GENOME109793_00993	GUT_GENOME109793_00772	GUT_GENOME238250_01588	GUT_GENOME109793_00988	GUT_GENOME109793_01183	GUT_GENOME109793_00446
GUT_GENOME036853	GUT_GENOME036853_00089	GUT_GENOME036853_00387	GUT_GENOME260051_00627	GUT_GENOME260051_01014	GUT_GENOME036853_00351	GUT_GENOME036853_00557	GUT_GENOME036853_00441	GUT_GENOME036853_02009	GUT_GENOME260051_00334	GUT_GENOME248086_00890	GUT_GENOME260051_00332	GUT_GENOME260051_00343	GUT_GENOME036853_01655	GUT_GENOME045895_01405	GUT_GENOME128042_01415	GUT_GENOME036853_01744	GUT_GENOME128042_00757	GUT_GENOME036853_01663	GUT_GENOME260051_01032	GUT_GENOME249850_01349	GUT_GENOME036853_00518	GUT_GENOME036853_02006	GUT_GENOME260051_00623	GUT_GENOME036853_01664	GUT_GENOME096259_00088	GUT_GENOME258867_00646	GUT_GENOME260051_00330	GUT_GENOME036853_01647	GUT_GENOME260051_00353	GUT_GENOME248086_00886	GUT_GENOME036853_00844	GUT_GENOME260051_00624
GUT_GENOME220136	GUT_GENOME220136_01063	GUT_GENOME220136_01906	GUT_GENOME220136_00752	GUT_GENOME220136_00695	GUT_GENOME220136_00851	GUT_GENOME220136_01521	GUT_GENOME220136_00748	GUT_GENOME220136_01132	GUT_GENOME220136_01647	GUT_GENOME220136_01650	GUT_GENOME220136_01649	GUT_GENOME225259_01397	GUT_GENOME220136_01635	GUT_GENOME220136_01131	GUT_GENOME225259_01375	GUT_GENOME225259_00642	GUT_GENOME220136_01640	GUT_GENOME220136_01643	GUT_GENOME220136_00872	GUT_GENOME220136_00697	GUT_GENOME220136_00437	GUT_GENOME220136_01135	GUT_GENOME220136_00755	GUT_GENOME220136_01644	GUT_GENOME220136_01633	GUT_GENOME225259_00643	GUT_GENOME194902_00086	GUT_GENOME225259_01408	GUT_GENOME220136_01629	GUT_GENOME220136_01646	GUT_GENOME220136_01888	GUT_GENOME220136_00754
